recipient,amountPPT18Dec,amount_deposited_of_USD,amountPPT
0x31f195f9Ad023e8903Ef1d259Ab295a421F46aAB,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x1f44E17a783Ba3dCda5eDD452A4F6262a7c55DB7,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x5783663beDc590CCD5b5bE910925C3b928a46fAE,"5,319,148,936,170,210,000,000.00","$1,000.00","5,319.15"
0x16fE7C393DB52dD369e70e64D817C600687548cb,"1,287,234,042,553,190,000,000.00",$242.00,"1,287.23"
0x4B70b870182F65E43E7413Ec33878015EAb7E7Ff,"2,659,574,468,085,100,000,000.00",$500.00,"2,659.57"
0xF2a6A155D6c0fC4e3a21c9592aab2A490695D06b,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xa366963C013aecC9EBB85bD625c237f77C0f3C54,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xDf37b75345536F73976311FF86e97b51d299D21F,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x266072c4eA883fA6A3F207A5233532Fc188030E7,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x80e2AEFB62C093d9d41d8a33C20BDd404d38BE6c,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xFE66428CF03A34455C3BA89FCdC85c4747F73161,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xaEA9C895D31aB1F669Ce333fa8Db550305EfBa6e,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xA510E0D880437F01f1Eb4564F28479ae35AE47F8,"1,574,468,085,106,380,000,000.00",$296.00,"1,574.47"
0x72De1fC13CE2aE2f12A7B802A4A963b7641d25aC,"601,063,829,787,234,000,000.00",$113.00,601.06
0x5D55ee935D1AAd8cAcE20528c63B26BC6417b6CE,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x36B2be0A1c7CcB89CeB9bE42B813276e0a7f636e,"531,914,893,617,021,000,000.00",$100.00,531.91
0xb7F8Ce8b43A2446B976a62b6F75CfAE7B133191c,"579,787,234,042,553,000,000.00",$109.00,579.79
0x2013268bfcd3eDdDB21da001EAeFa31e5e5bB881,"531,914,893,617,021,000,000.00",$100.00,531.91
0xEb288b54E54fB02a0ac83169aC65235Ed13E6B71,"531,914,893,617,021,000,000.00",$100.00,531.91
0x9D080247720c493Acf5a01D851379B0b0e1b0D2A,"531,914,893,617,021,000,000.00",$100.00,531.91
0x62b21CF94C1a5f96906cE33c031D813d9e0De177,"537,234,042,553,191,000,000.00",$101.00,537.23
0x5840061c9983311d06D3A74eB16e5e30871ede19,"4,132,978,723,404,250,000,000.00",$777.00,"4,132.98"
0x13BA4dC7F60360ece269Db6aA9351f36dA2a6b98,"1,143,617,021,276,590,000,000.00",$215.00,"1,143.62"
0xf79bAC4615Fe8631685749Ca6B7ba22bA8c16A90,"531,914,893,617,021,000,000.00",$100.00,531.91
0x7bd1C2385E7e83B634db2FC0c415e7Ebe5e9Bc64,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xA5307F1af2d16251C35Be9B5912557C30A0Ae30A,"1,063,829,787,234,040,000,000.00",$200.00,"1,063.83"
0x6e28de65f3BF1C11bbEd2EFa22619E37454443dE,"531,914,893,617,021,000,000.00",$100.00,531.91
0x84973296CF61403Acc48fE25E0e4038db553a574,"1,180,851,063,829,780,000,000.00",$222.00,"1,180.85"
0x415A178742aDB26B04A22Ea1714A53C9fCb8070C,"1,063,829,787,234,040,000,000.00",$200.00,"1,063.83"
0xF83abc519E046c5391d219fabF1A3C87dd5924D3,"1,000,000,000,000,000,000,000.00",$188.00,"1,000.00"
0xb578Bb023A7d5b48202494645D6fEdCb784f066a,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x9447A25B2a4487B301915a9Fe7B4bc5653Fb4c18,"531,914,893,617,021,000,000.00",$100.00,531.91
0x349633DBEe2aE1f138DBf1b04a239Eb33dD7A457,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x90de349d11506ccd07355BA47776C3B828Ba5fD1,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xed01E1EA368400a62d10bC0F2150E7B0863d8294,"1,223,404,255,319,140,000,000.00",$230.00,"1,223.40"
0xFbD0aaE0AE149879d6C686460b54977836ef03D9,"601,063,829,787,234,000,000.00",$113.00,601.06
0x62f83d98b65419064bE73724F1E1c368A4E3BEe3,"547,872,340,425,531,000,000.00",$103.00,547.87
0x45737Eb824b34708d426a1B8Db1698193FC6B61c,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xf3837FC9a1c4702cD5e3E3703369ae2f0DaC449c,"531,914,893,617,021,000,000.00",$100.00,531.91
