recipient,amount
0x31f195f9Ad023e8903Ef1d259Ab295a421F46aAB,7978723404255319500000
0x1f44E17a783Ba3dCda5eDD452A4F6262a7c55DB7,7978723404255319500000
0x82bD4f7E0A3a8c43366D3d0bba5AedFa2B50d421,5319148936170213000000
0x5783663beDc590CCD5b5bE910925C3b928a46fAE,5319148936170213000000
0x16fE7C393DB52dD369e70e64D817C600687548cb,1287234042553191546000
0x4B70b870182F65E43E7413Ec33878015EAb7E7Ff,2659574468085106500000
0xF2a6A155D6c0fC4e3a21c9592aab2A490695D06b,7978723404255319500000
0xa366963C013aecC9EBB85bD625c237f77C0f3C54,7978723404255319500000
0xDf37b75345536F73976311FF86e97b51d299D21F,7978723404255319500000
0x266072c4eA883fA6A3F207A5233532Fc188030E7,7978723404255319500000
0x80e2AEFB62C093d9d41d8a33C20BDd404d38BE6c,7978723404255319500000
0xFE66428CF03A34455C3BA89FCdC85c4747F73161,7978723404255319500000
0xaEA9C895D31aB1F669Ce333fa8Db550305EfBa6e,7978723404255319500000
0xA510E0D880437F01f1Eb4564F28479ae35AE47F8,1574468085106383048000
0x72De1fC13CE2aE2f12A7B802A4A963b7641d25aC,601063829787234069000
0x5D55ee935D1AAd8cAcE20528c63B26BC6417b6CE,7978723404255319500000
0x36B2be0A1c7CcB89CeB9bE42B813276e0a7f636e,531914893617021300000
0xb7F8Ce8b43A2446B976a62b6F75CfAE7B133191c,579787234042553217000
0x2013268bfcd3eDdDB21da001EAeFa31e5e5bB881,531914893617021300000
0xDA4aa3EdD06Ac7d12281E0C4E2F2d8E3076F21A1,531914893617021300000
0x9D080247720c493Acf5a01D851379B0b0e1b0D2A,531914893617021300000
0x62b21CF94C1a5f96906cE33c031D813d9e0De177,537234042553191513000
0x809a0f96e1c323A66516FaD4E0DEE23eDB641067,4132978723404255501000
0x13BA4dC7F60360ece269Db6aA9351f36dA2a6b98,1143617021276595795000
0xf79bAC4615Fe8631685749Ca6B7ba22bA8c16A90,531914893617021300000
0x7bd1C2385E7e83B634db2FC0c415e7Ebe5e9Bc64,7978723404255319500000
0xA5307F1af2d16251C35Be9B5912557C30A0Ae30A,1063829787234042600000
0x6e28de65f3BF1C11bbEd2EFa22619E37454443dE,531914893617021300000
0x9c7345C58ab537bE74F5088C58429AF2B6f2925B,1180851063829787286000
0x415A178742aDB26B04A22Ea1714A53C9fCb8070C,1063829787234042600000
0xF83abc519E046c5391d219fabF1A3C87dd5924D3,1000000000000000044000
0xb578Bb023A7d5b48202494645D6fEdCb784f066a,7978723404255319500000
0x9447A25B2a4487B301915a9Fe7B4bc5653Fb4c18,531914893617021300000
0x349633DBEe2aE1f138DBf1b04a239Eb33dD7A457,7978723404255319500000
0x90de349d11506ccd07355BA47776C3B828Ba5fD1,7978723404255319500000
0xed01E1EA368400a62d10bC0F2150E7B0863d8294,1223404255319148990000
0xFbD0aaE0AE149879d6C686460b54977836ef03D9,601063829787234069000
0x62f83d98b65419064bE73724F1E1c368A4E3BEe3,547872340425531939000
0x45737Eb824b34708d426a1B8Db1698193FC6B61c,7978723404255319500000
0xf3837FC9a1c4702cD5e3E3703369ae2f0DaC449c,531914893617021300000
0x41193C538f9b5C1BFB4a86cfa00074cc6d64Ec2B,7978723404255319500000
0xe8a5912Cd16b7b0D6e3622BCC14BbE423aF683F0,531914893617021300000
0x0B21c577BD4DC343AFE46AB93e02e5B10e716318,7978723404255319500000
0x7E8b3cC4A464bb77a6b6C6637cC0308B0B178A0C,3723404255319149100000
0x29782a167e905414d7f29DAf428CE7B246D2b8B1,2659574468085106500000
0x5605ab315eD3cd42a82Fd8eEB5592f7F0177A3E0,5319148936170213000000
0x8b7Ff910E701fDd3721FD77432EC7469E54Fd5f9,2845744680851063955000
0x7d99513d132c0030cFE254Bb36fc2AEbf2A51831,691489361702127690000
0xE2ae6fA12932765da1ceF04A1CCd79aD8A5f5770,553191489361702152000
0x1171426B52a3F1e211e1D1aDfC82cadfda8d9093,7978723404255319500000
0xEc15f13cbab7b1536b1F5EDb7b17c29ca53FCf54,537234042553191513000
0x0B5e99FC7DFB2b8a63366Fa654BaF285c574165a,5319148936170213000000
0xd5ffa6B00B4adD28bE314b7e45cF2B8db219A8E9,7952127659574468435000
0xAD93368245E336C6dD2c1BB01D5C21E77E170CAB,7978723404255319500000
0x7D33974DbccD8268dC6af1f02162394ECf519429,7930851063829787583000
0x48fc49388589D11B3794f086535c62abb8F64863,7978723404255319500000
0xa1280E73B03eb837D1Bb934c71b5cA5944e8A05d,7973404255319149287000
0x9691978B4244E446054bECBd150C0d9Fe55066B4,2409574468085106489000
0x83F307d03839406D4e9f3350dD01D527607db9A6,7888297872340425879000
0x2EA1088c91D3bD973c7f83D64CF5bdf22C4fCEe6,7941489361702128009000
0xd3653daD45916656c49ba3287fD31D7960A49487,7819148936170213110000
0x9A886ae5f4DF6CBf12E3B967D54262601CaDB31D,1861702127659574550000
0xacb36B08c820c2D7B8D6de445eB4F5A704F274F6,7840425531914893962000
0x69B486229bCceCfb8F5df6A95eeaa4B0cd5331De,7824468085106383323000
0xC7a748AFDA1F19c6677b3B13038cae766048aEbb,7978723404255319500000
0xD16792E3B9843CE6673D8F5D1159062D2B29ad1f,7829787234042553536000
0x40DFdE99a4d1E082ee9722c497B0A98261a4bc3B,537234042553191513000
0xa093d1c72C5bf0295299Ba8D106473F881fd2031,7882978723404255666000
0x652617fe98D87A9e0Fa1aE9DEB2FfF0fD6f99412,7934627659574468434230
0xccC3Aa8b40DC16CAbB7E062ee1CB84e55FA19162,7977180851063830138230
0x19F9708d782804D2fc4eAa9BFf8873755c8fC47a,7828244680851064174230
0x3Da35428B7D232Be0Ba90d8a20aa105d9AE782F9,7838882978723404600230
0x084CA1598e0d1619768Ff47F626eFBEf02d50147,7918670212765957795230
0xE04157de4BA365c03207E18aCb198Bc40C15FB85,7966542553191489712230
0xb06B93AC7E627781f55967fE61e6C2708362Fe75,7886755319148936517230
0x25f904257a47F2a2634826057D2c38829eb45c1d,7892074468085106730230
0xbBbFe073960430Eb62F7F254a51BC9b16758b215,7973404255319149287000
0x6624DAfC4400C3dFCE68706c15d5968fa06d377d,7978723404255319500000
0x7Fa240C6ffB0F8b266FF01cBe6aB7E1f06606908,7888297872340425879000
0xaB18e8C39529A0FCFA6f2A8128D85D7D961A6d89,7978723404255319500000
0x135C45CC9D1aC4ffA3F8476F0299CE85Ec88EC9a,7973404255319149287000
0x8405627E47Ca4f4F918C1De7012F4270F8812b8A,7973404255319149287000
0x03BD966121fFB04B26078def5A401E78DB5F3CBb,7978723404255319500000
0x3B19C4c892baF51F6A598eCD7B719ceBB0E36361,7973404255319149287000
0xFb3957Bf933AB9c521020A90Bfaa8fc82e732323,7978723404255319500000
0xc28D16075fA6a7f8039CD286ae8D61e52D9560Bd,7973404255319149287000
0x95f48B33d4f27E5842E005DFa96Ff8F96eD29F6C,7978723404255319500000
0x3Ea1805768fDBA949A6936C25df7779d676C4F3d,7978723404255319500000
0xB60659a3A0C8Ecde9DdAe06B1B1925dde36B51dd,7978723404255319500000
0xAbea0Af535B004364848B992b5E44d929Deb047F,7978723404255319500000
0x8Da18E320F629cafdE27aBBdfeeE6f3e878b4Cc7,7978723404255319500000
0x549f99629E07291e5b446d4DcCFd1dF42b2EDF5b,7973404255319149287000
0x6EA7FCEB0A2C0BC51652D5530ab4f07c2e9D9D1d,7978723404255319500000
0x353fA3738e58a75acD6a3d4F2eAe6DD9785fB742,7952127659574468435000
0x860d4cD70d4C3BFc902728Eb68f77B5915d917A7,7978723404255319500000
0x987d7ffc7C35Cc132516760e0D6133B0c7c4E02A,7978723404255319500000
0x15622B3156E73167B0dea638008A829a0F433EDC,7978723404255319500000
0xB3caBda9C624a00b1CBF8FF809EC526B30983B45,7978723404255319500000
0xdecfc7351961483e3ceD4792Af48FF7Efb387D39,7978723404255319500000
0xE86B33c0B50AdA40755DCC2DCEE61DBf07f891C9,7973404255319149287000
0xeE73AfD901dfa3cAefa1cb51dEA6159538C88b7b,7978723404255319500000
0xd9507fA5Fc42bd9cb7875045b3A92b97293217eF,7973404255319149287000
0x1a4302dC8bF28587BD3B0b4778cD3f382B29E646,7978723404255319500000
0xFF71F4C0715097710aFD96C2dA8F5F86Be1b08F5,7978723404255319500000
0x44070fEdB5017921d48e70a28804D501eEE81aD6,7973404255319149287000
0xE499448fD86c91E041DC669e09f4dc4a4Bbea605,7978723404255319500000
0x68fE637ca877404C8702d0A95d9f2E7b82F9B5ed,7978723404255319500000
0x7e100aEB2409598231CeEa50226CbC5261589942,7978723404255319500000
0x12784dd9C22604805fA12bc47993CE9fd148cCa8,7978723404255319500000
0x4B990AFaC30EfAb9f7b235aD8705bb91397cE902,5200585106382978952230
0xf4d89a08D5A8A76c26ccc4EA64094d13BfFc7A31,6610159574468085397230
