recipient,amount
0x82fd7cbdc32ab2c561b7f785511252c2fff787a5,0
0xcec6bf0d3419ca8a74e0f20cb764a6f6cabf3937,250000000000000000000
0x8e686bf0591bdc911f160d206dbebefd35502ec7,1220000000000000000000
0xe1b8ebfc9196fa4341d564b9d8b8df81f9e9d0ed,500000000000000000000
0x756addd4b72d40e9f119b459fc2d939035928bd6,250000000000000000000
0xb51c9bb09d61286e126a5c3cbf0c6b29d36c44c2,1000000000000000000000
0xcb63d4930dde17e1156a341cba3735a3d8caffc7,260000000000000000000
0xb578bb023a7d5b48202494645d6fedcb784f066a,25000000000000000000000
0xdd8fe5c6165a885e6b408f4d2f306fb7ab015f38,250000000000000000000
0xc707fc7ba9092354e858cf4ea84595106c693e47,500000000000000000000
0xc1e153bda003e9764549bac71af0cf5aa0d2e3c6,505000000000000000000
0xaea9c895d31ab1f669ce333fa8db550305efba6e,250000000000000000000
0x98cdac91b9ca91dd07b3420434d604ddaa706ab0,280000000000000000000
0xed01e1ea368400a62d10bc0f2150e7b0863d8294,250000000000000000000
0x0b5e99fc7dfb2b8a63366fa654baf285c574165a,250000000000000000000
0xbc24804d4777a565351435b49fde2fbc59265073,19573450000000000000000
0xda8afd2544f1c16f8ed5e3280fdd261a96504dbf,24434650000000000000000
0x8eff7480c623bbb79df8b042551d18ebc0dc215e,10805000000000000000000
0xb659e60ba06d92fb38d147fc52e6167ad30a2ed6,9115000000000000000000
0x7308acd494d5ef41cf858f1f675005117b8d50cb,7235000000000000000000
0x83334c9562248d5214885d8b443c3374cef0d82f,17315000000000000000000
0x597fd9f0a531315426252c56562f37610ce625f8,8015000000000000000000
0x9f461e237213518bbc63fb0944de27fc08c8cbb7,22685000000000000000000
0x29c4dc257d86cd5e80379f7b1e53d65f7698d302,25000000000000000000000
0x734d0cc6226fcdeae6075f122288a3b7f72542ea,20825000000000000000000
0x5adb4ce193f60595d99c86040286a80f6a93541c,250000000000000000000
0x6337ff40c02d1089b1e1c91c8ee8dba56b561232,18805000000000000000000
0x9cbca4da28bf64d534d70a56a8cf94b11b0f130b,15175000000000000000000
0x0ef20420f1870e32a8f78f85c4e995c932da35e9,17915000000000000000000
0xd86d1aab2912ef2bd8bde960dcea1dbf108a2614,10095000000000000000000
0xf7c66cea4ed78abb9c5c50441bdf748753a0fe59,715000000000000000000
0x598db19071cc8aadecc9a0389b5c6462e4990af7,16115000000000000000000
0x75c3ed1dd1a5893a99868eecf4bc9537beaab0e2,25000000000000000000000
0xa95b08938faf0ba4aa1bc1965067a4b8f107802d,8115000000000000000000
